epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,652.416,1.00718,1.00372,1.14961,0.7449,0.04082,0.04521,0.02839,1.67873,5.57361,1.1937,6.667e-05,6.667e-05,6.667e-05
103,658.776,0.97255,1.11465,1.17394,0.73677,0.04082,0.04524,0.02841,1.65453,5.53136,1.17,6.634e-05,6.634e-05,6.634e-05
104,665.125,0.97235,0.9921,1.15259,0.71561,0.04082,0.04528,0.02843,1.64366,5.4278,1.16458,6.601e-05,6.601e-05,6.601e-05
105,671.481,1.0628,1.07809,1.17699,0.73509,0.04082,0.04529,0.02844,1.64436,5.38976,1.16465,6.568e-05,6.568e-05,6.568e-05
106,677.853,1.01236,1.07458,1.19166,0.73768,0.04082,0.04531,0.02846,1.64264,5.47243,1.16278,6.535e-05,6.535e-05,6.535e-05
107,684.343,1.04409,1.10214,1.1914,0.75833,0.04082,0.04526,0.02843,1.64606,5.59228,1.16937,6.502e-05,6.502e-05,6.502e-05
108,690.811,1.03278,1.05809,1.17427,0.771,0.04082,0.04524,0.02841,1.65484,5.74269,1.17099,6.469e-05,6.469e-05,6.469e-05
109,697.251,1.02013,1.06432,1.1786,0.78694,0.04082,0.04524,0.02841,1.65149,5.73942,1.16832,6.436e-05,6.436e-05,6.436e-05
110,703.706,0.90291,1.02431,1.12062,0.83901,0.04082,0.04524,0.02841,1.62712,5.77064,1.15741,6.403e-05,6.403e-05,6.403e-05
111,710.172,0.95598,1.01539,1.15841,0.86136,0.04082,0.04523,0.0284,1.60314,5.56463,1.14661,6.37e-05,6.37e-05,6.37e-05
112,716.639,0.9786,0.97869,1.13471,0.86452,0.04082,0.04523,0.02841,1.57565,5.25825,1.13722,6.337e-05,6.337e-05,6.337e-05
113,722.998,1.06219,1.0759,1.22704,0.85385,0.04082,0.04525,0.02842,1.56573,5.13593,1.13075,6.304e-05,6.304e-05,6.304e-05
114,729.399,1.06429,1.11544,1.17847,0.85608,0.04082,0.04527,0.02843,1.54859,4.84333,1.12616,6.271e-05,6.271e-05,6.271e-05
115,735.757,0.95005,0.97061,1.09719,0.84218,0.04082,0.04527,0.02843,1.55708,4.69114,1.12837,6.238e-05,6.238e-05,6.238e-05
116,742.152,1.05562,1.09777,1.18585,0.82092,0.04082,0.04528,0.02844,1.58799,4.53235,1.13949,6.205e-05,6.205e-05,6.205e-05
117,748.514,0.95989,0.99033,1.1577,0.82196,0.04082,0.04527,0.02843,1.58528,4.52758,1.15009,6.172e-05,6.172e-05,6.172e-05
118,754.914,0.98733,1.08608,1.14979,0.84278,0.04082,0.04524,0.02841,1.60987,4.56969,1.1619,6.139e-05,6.139e-05,6.139e-05
119,761.258,0.93393,1.05003,1.12976,0.85451,0.04082,0.04526,0.02842,1.63448,4.62009,1.17014,6.106e-05,6.106e-05,6.106e-05
120,767.653,0.99339,1.0239,1.18534,0.85073,0.04082,0.04524,0.02966,1.61827,4.61402,1.16703,6.073e-05,6.073e-05,6.073e-05
121,774.015,0.92623,0.96681,1.16768,0.86494,0.04082,0.04523,0.02964,1.61191,4.61382,1.16772,6.04e-05,6.04e-05,6.04e-05
122,780.391,0.92865,1.02107,1.14329,0.86663,0.04082,0.04521,0.02964,1.60236,4.52763,1.17472,6.007e-05,6.007e-05,6.007e-05
123,786.765,0.97945,1.02282,1.1686,0.8662,0.04082,0.04522,0.02963,1.57224,4.45581,1.16648,5.974e-05,5.974e-05,5.974e-05
124,793.148,1.08283,1.10027,1.20614,0.86746,0.04082,0.04521,0.02963,1.54896,4.4496,1.16441,5.941e-05,5.941e-05,5.941e-05
125,799.565,0.98106,0.99157,1.17108,0.86384,0.04082,0.04521,0.02964,1.54393,4.40759,1.1642,5.908e-05,5.908e-05,5.908e-05
126,806.025,0.87567,0.86465,1.08991,0.85676,0.04082,0.04519,0.02963,1.52803,4.4369,1.17783,5.875e-05,5.875e-05,5.875e-05
127,812.485,0.87171,0.96526,1.12334,0.82953,0.04082,0.04519,0.02962,1.55659,4.44418,1.19497,5.842e-05,5.842e-05,5.842e-05
128,818.932,0.93131,0.9044,1.12093,0.77089,0.04082,0.04518,0.02962,1.57075,4.50058,1.2007,5.809e-05,5.809e-05,5.809e-05
129,825.354,0.92562,0.99914,1.16353,0.73966,0.04082,0.04519,0.02962,1.56564,4.57083,1.19768,5.776e-05,5.776e-05,5.776e-05
130,831.727,0.88209,0.90145,1.09993,0.66291,0.04082,0.04528,0.02838,1.57642,4.7289,1.19971,5.743e-05,5.743e-05,5.743e-05
131,838.118,0.92074,0.94306,1.14441,0.6519,0.04082,0.04517,0.02837,1.56933,4.90321,1.19297,5.71e-05,5.71e-05,5.71e-05
132,844.489,0.95742,0.97296,1.10529,0.6445,0.04082,0.04526,0.02837,1.58249,5.16183,1.19798,5.677e-05,5.677e-05,5.677e-05
133,850.894,0.9378,1.00776,1.13707,0.64154,0.04082,0.04526,0.02837,1.5785,5.33097,1.19623,5.644e-05,5.644e-05,5.644e-05
134,857.295,0.93759,0.94384,1.12907,0.64067,0.04082,0.03859,0.02395,1.58392,5.5081,1.1914,5.611e-05,5.611e-05,5.611e-05
135,863.689,0.84187,0.92426,1.10707,0.63972,0.04082,0.03859,0.02479,1.57754,5.69199,1.17346,5.578e-05,5.578e-05,5.578e-05
136,870.064,0.84407,0.89199,1.08935,0.63976,0.04082,0.03859,0.02479,1.56021,5.90192,1.17937,5.545e-05,5.545e-05,5.545e-05
137,876.42,0.9436,0.96209,1.13563,0.63873,0.04082,0.03859,0.02479,1.5529,6.01334,1.17579,5.512e-05,5.512e-05,5.512e-05
138,882.826,0.90539,0.93019,1.10775,0.63448,0.04082,0.03858,0.02479,1.55647,6.25595,1.17725,5.479e-05,5.479e-05,5.479e-05
139,889.196,1.03995,1.05,1.18162,0.63389,0.04082,0.03025,0.02196,1.54997,6.12032,1.16765,5.446e-05,5.446e-05,5.446e-05
140,895.543,0.9554,0.97223,1.15943,0.6356,0.04082,0.03025,0.02196,1.54829,5.9561,1.16992,5.413e-05,5.413e-05,5.413e-05
141,901.895,0.95642,0.99839,1.16006,0.63524,0.04082,0.03025,0.02196,1.54493,5.88811,1.16858,5.38e-05,5.38e-05,5.38e-05
142,908.269,0.91876,0.9327,1.121,0.63655,0.04082,0.03859,0.0278,1.56439,5.73903,1.16251,5.347e-05,5.347e-05,5.347e-05
143,914.646,0.86874,0.8671,1.08454,0.63868,0.04082,0.03859,0.0278,1.56149,5.58511,1.16124,5.314e-05,5.314e-05,5.314e-05
144,921.038,0.9482,0.96917,1.11212,0.63812,0.04082,0.03861,0.0278,1.54063,5.58648,1.14949,5.281e-05,5.281e-05,5.281e-05
145,927.394,0.98476,0.95923,1.17569,0.63893,0.04082,0.03862,0.02781,1.537,5.56537,1.15066,5.248e-05,5.248e-05,5.248e-05
146,933.794,0.86635,0.94669,1.11178,0.64001,0.04082,0.03852,0.0278,1.52215,5.44117,1.14873,5.215e-05,5.215e-05,5.215e-05
147,940.19,0.91153,0.94011,1.12345,0.64469,0.04082,0.04518,0.03288,1.52181,5.41039,1.15306,5.182e-05,5.182e-05,5.182e-05
148,946.574,0.97103,0.99606,1.16661,0.6559,0.04082,0.04518,0.03288,1.51811,5.37268,1.15761,5.149e-05,5.149e-05,5.149e-05
149,952.915,0.91869,0.90644,1.10951,0.66198,0.04082,0.04519,0.03289,1.50179,5.308,1.15266,5.116e-05,5.116e-05,5.116e-05
150,959.296,0.9114,0.95353,1.12567,0.71861,0.04082,0.0452,0.0329,1.46654,5.20426,1.14087,5.083e-05,5.083e-05,5.083e-05
151,965.68,0.8107,0.87935,1.09098,0.81102,0.04082,0.04522,0.03291,1.43593,5.07139,1.12896,5.05e-05,5.05e-05,5.05e-05
152,972.051,0.92002,0.94759,1.10976,0.81394,0.04082,0.04523,0.03292,1.45107,4.8813,1.13197,5.017e-05,5.017e-05,5.017e-05
153,978.402,0.97643,0.98497,1.12255,0.81737,0.04082,0.04525,0.03293,1.4594,4.81394,1.12389,4.984e-05,4.984e-05,4.984e-05
154,984.757,0.93863,0.91,1.12594,0.82777,0.04082,0.04527,0.03295,1.46783,4.80411,1.12273,4.951e-05,4.951e-05,4.951e-05
155,991.124,0.92953,0.97393,1.14222,0.81927,0.04082,0.0454,0.03296,1.49489,4.88473,1.12479,4.918e-05,4.918e-05,4.918e-05
156,997.5,0.93533,0.96822,1.12788,0.78542,0.04082,0.04542,0.02971,1.50827,4.98789,1.12411,4.885e-05,4.885e-05,4.885e-05
157,1003.85,0.83734,0.84637,1.12022,0.78557,0.04082,0.04542,0.02845,1.51674,5.00953,1.12515,4.852e-05,4.852e-05,4.852e-05
158,1010.24,0.80446,0.85627,1.08027,0.80266,0.04082,0.04545,0.02847,1.53764,4.73423,1.11134,4.819e-05,4.819e-05,4.819e-05
